country,city,year,aqi,pm2.5,pm10,deforestation_rate_%,afforestation_rate_%,vehicles_increase_%,industries_increase_%,env_budget_million_usd,population_density_per_sqkm,co2_emissions_mt,green_space_ratio_%,avg_life_expectancy_index,vehicles_per_density,green_space_per_capita
Argentina,Buenos Aires,2017,124.35,64.67,102.57,2.28,0.82,11.56,3.64,372.2,6238.23,175.37,33.94,77.45,0.0018530897385957237,0.005440645824216164
Argentina,Buenos Aires,2017,107.7,67.49,94.66,3.79,2.85,6.04,8.05,199.09,7580.43,184.52,37.18,78.22,0.0007967885726799139,0.004904734955668741
Argentina,Buenos Aires,2017,44.18,26.73,33.56,0.55,2.5,4.6,4.24,95.31,1926.7,96.94,45.01,82.25,0.002387501946333108,0.023361187522707216
Argentina,Buenos Aires,2017,66.75,43.6,57.91,1.71,2.39,9.77,5.06,211.25,2954.32,179.68,42.5,80.97,0.003307021581954561,0.014385713125186167
Argentina,Buenos Aires,2017,146.57,101.26,155.99,1.48,0.88,11.81,9.64,342.57,8345.07,244.44,32.82,75.91,0.001415206822710894,0.003932860958625871
Argentina,Buenos Aires,2017,70.54,48.17,52.75,1.15,1.38,7.09,6.16,265.81,6769.35,159.78,36.23,80.83,0.0010473679156787579,0.005352064821585528
Argentina,Buenos Aires,2017,157.49,90.73,147.83,4.41,0.84,9.08,5.3,133.38,5916.54,151.11,32.18,74.77,0.0015346807424609654,0.00543898967977906
Argentina,Buenos Aires,2017,194.47,109.12,150.15,4.27,2.73,10.71,9.46,149.72,14247.34,240.66,29.68,72.33,0.0007517192682985035,0.0020831958807749377
Argentina,Buenos Aires,2017,98.75,68.86,104.55,1.05,2.48,9.11,4.7,307.78,5776.59,153.77,40.6,79.03,0.0015770549753401227,0.007028367947179911
Argentina,Buenos Aires,2017,112.92,57.49,106.44,0.55,2.95,7.09,5.79,240.44,13906.2,191.69,34.4,77.95,0.0005098445297780845,0.002473716759431045
Argentina,Buenos Aires,2018,111.73,71.97,104.62,2.98,1.78,8.13,5.81,391.12,8364.99,181.24,33.99,78.33,0.0009719079162079095,0.004063364092485466
Argentina,Buenos Aires,2018,114.55,77.51,103.84,1.78,1.67,7.1,4.52,127.01,8113.73,140.97,35.1,77.62,0.000875059929280368,0.0043260004954564675
Argentina,Buenos Aires,2018,165.54,100.38,147.43,3.46,1.28,4.9,6.51,353.61,12717.72,165.04,27.67,74.67,0.00038528918705554144,0.0021757044501687414
Argentina,Buenos Aires,2018,136.64,73.65,122.45,2.77,1.12,8.37,6.54,225.43,3728.68,177.32,36.87,76.34,0.002244762221483206,0.009888217814347167
Argentina,Buenos Aires,2018,104.78,43.87,107.84,3.18,0.52,6.17,8.94,281.89,1696.68,188.98,36.68,78.58,0.0036365136619751514,0.021618690619327155
Argentina,Buenos Aires,2018,88.93,41.63,76.71,1.54,2.99,11.72,4.1,361.42,6600.11,194.53,40.83,79.79,0.0017757279802912377,0.006186260532021436
Argentina,Buenos Aires,2018,137.97,83.84,128.01,3.11,0.5,7.78,8.02,232.57,3200.08,168.73,35.18,76.27,0.0024311892202694934,0.010993475163120922
Argentina,Buenos Aires,2018,36.25,21.34,36.83,1.48,1.92,4.02,8.21,372.5,2210.55,135.84,42.06,83.33,0.001818551944086313,0.019026938997082174
Argentina,Buenos Aires,2018,123.67,51.34,112.46,2.87,1.38,11.23,6.49,214.07,1479.07,172.62,39.78,77.18,0.007592608869086657,0.026895278790050506
Argentina,Buenos Aires,2018,104.24,53.39,104.05,0.86,0.48,5.17,7.49,266.08,12082.52,188.53,28.51,78.58,0.0004278908704475556,0.002359607101829751
Argentina,Buenos Aires,2018,175.49,94.05,179.24,0.65,2.84,13.44,5.68,330.8,14894.29,224.49,32.97,73.96,0.0009023592262538193,0.0022135999769039003
Argentina,Buenos Aires,2018,169.68,101.87,127.93,3.42,0.66,6.52,7.87,126.3,9490.65,178.31,29.06,73.94,0.0006869919341667852,0.0030619609826513464
Argentina,Buenos Aires,2018,129.82,57.64,109.35,1.28,0.4,10.26,6.86,264.62,11371.84,208.44,28.55,76.87,0.0009022286630835467,0.002510587556631117
Argentina,Buenos Aires,2018,140.62,90.2,107.82,2.49,2.93,8.01,4.61,132.03,13396.73,171.45,32.91,75.89,0.0005979071012105193,0.0024565696255728076
Argentina,Buenos Aires,2018,30.73,17.72,23.03,1.1,2.74,4.06,5.32,245.58,3232.37,117.09,43.91,83.44,0.0012560443266086492,0.013584459699848717
Argentina,Buenos Aires,2018,177.6,88.52,154.34,2.62,1.3,13.27,7.74,384.62,14410.94,241.09,26.88,73.93,0.0009208282041282526,0.0018652495950992787
Argentina,Buenos Aires,2018,166.37,96.42,144.73,3.37,1.25,6.67,3.64,95.04,13190.67,163.89,27.18,74.1,0.0005056604402960578,0.002060547341416319
Argentina,Buenos Aires,2018,199.95,112.93,149.29,2.94,0.47,8.66,7.89,224.39,12061.4,201.04,26.4,72.12,0.0007179929361433996,0.002188800636742003
Argentina,Buenos Aires,2018,116.09,79.95,117.04,3.55,0.61,5.69,7.47,177.57,1489.75,141.22,36.79,77.62,0.003819432790736701,0.024695418694411813
Argentina,Buenos Aires,2018,154.1,72.39,164.41,3.81,0.93,11.36,4.42,278.55,2355.63,157.0,36.63,75.28,0.0048224891005803116,0.015549980260057819
Argentina,Buenos Aires,2018,81.8,40.11,74.56,0.88,2.62,4.99,5.24,146.72,5301.93,128.9,41.69,79.84,0.0009411667072179376,0.007863174353490144
Argentina,Buenos Aires,2018,127.98,67.04,93.15,4.2,0.78,4.14,6.97,83.05,12352.65,158.43,25.79,76.63,0.0003351507571249894,0.0020878111174525305
Argentina,Buenos Aires,2019,95.29,49.1,73.98,2.34,2.37,4.8,9.73,280.25,8391.69,190.32,36.38,79.21,0.0005719944373540967,0.004335241173112925
Argentina,Buenos Aires,2019,139.71,70.69,146.41,3.22,1.5,10.6,5.88,128.53,5416.58,198.7,35.85,75.94,0.001956954388193288,0.006618567435540508
Argentina,Buenos Aires,2019,139.62,83.79,139.61,0.71,0.43,7.89,9.47,87.27,1138.72,173.43,39.43,75.87,0.006928832373190951,0.03462659828579458
Argentina,Buenos Aires,2019,163.37,70.08,155.2,1.24,1.35,12.73,4.18,187.26,11568.26,216.2,31.25,74.48,0.001100424782983785,0.0027013569888643583
Argentina,Buenos Aires,2019,151.69,66.65,146.19,4.26,1.66,11.26,4.26,86.38,9325.88,174.41,31.41,75.06,0.0012073927607904027,0.0033680467687767805
Argentina,Buenos Aires,2019,111.72,71.02,109.12,1.12,2.76,13.57,3.17,224.4,14661.27,213.41,32.51,78.0,0.0009255678396209878,0.0022174068140072447
Argentina,Buenos Aires,2019,130.5,63.15,117.59,0.95,2.3,13.2,3.97,289.35,7675.91,204.07,38.27,76.88,0.0017196658116106103,0.0049857280765407625
Argentina,Buenos Aires,2019,119.63,63.39,95.89,2.01,2.63,13.11,4.53,294.05,11915.44,191.38,33.96,77.61,0.0011002531169642077,0.002850083589023989
Argentina,Buenos Aires,2019,153.06,88.17,146.02,0.68,2.97,6.87,7.99,220.91,9741.23,186.72,38.5,75.24,0.0007052497477217969,0.003952272967582123
Argentina,Buenos Aires,2019,83.71,50.45,70.99,0.52,0.99,5.86,7.74,221.73,6063.1,171.5,36.39,79.86,0.0009665022843100065,0.006001880226286883
Argentina,Buenos Aires,2019,111.67,64.83,99.05,1.96,1.28,10.26,4.43,109.71,6446.41,187.53,35.44,77.77,0.0015915835325398166,0.005497633566589776
Argentina,Buenos Aires,2019,138.0,80.72,119.96,4.05,0.68,7.35,8.02,149.86,10498.75,205.17,27.49,76.1,0.0007000833432551493,0.0026184069532087153
Argentina,Buenos Aires,2019,183.74,77.86,145.8,1.69,1.0,9.68,6.81,71.96,11682.51,208.25,29.62,72.89,0.0008285890617684042,0.0025354140505764603
Argentina,Buenos Aires,2019,106.61,67.74,78.29,1.35,2.15,13.02,7.61,356.71,6289.4,204.1,38.82,78.61,0.0020701497758132733,0.006172289884567686
Argentina,Buenos Aires,2019,208.8,113.45,162.45,0.66,1.69,12.33,9.7,212.21,14815.03,248.78,29.6,71.5,0.0008322629113812122,0.0019979709794715234
Argentina,Buenos Aires,2019,141.91,66.74,154.51,1.18,0.63,10.5,4.78,188.81,8623.16,170.52,32.1,75.92,0.0012176510699094068,0.003722533270865901
Argentina,Buenos Aires,2019,132.48,54.01,103.39,3.9,2.72,7.07,6.49,92.85,9666.64,171.46,34.6,76.35,0.000731381327948491,0.003579320218814397
Argentina,Buenos Aires,2019,153.19,89.05,113.97,2.76,1.44,12.75,6.7,241.83,13372.66,212.62,28.17,75.27,0.0009534378351053567,0.0021065367697974823
Argentina,Buenos Aires,2020,125.17,57.71,99.33,3.4,0.83,9.81,5.89,294.75,4864.44,186.17,34.23,77.24,0.0020166761230480798,0.007036781212225868
Argentina,Buenos Aires,2020,171.72,73.47,156.87,3.71,1.91,13.84,8.47,334.25,4631.83,235.67,37.39,74.22,0.0029880198539238272,0.008072403348136697
Argentina,Buenos Aires,2020,202.76,134.16,184.17,3.05,1.52,12.37,9.58,171.05,13449.12,251.2,28.07,71.82,0.0009197627800183208,0.002087125403000345
Argentina,Buenos Aires,2020,102.58,41.86,98.35,2.2,1.82,13.92,5.28,242.35,1902.48,196.7,41.37,78.65,0.007316765485051091,0.02174530087044279
Argentina,Buenos Aires,2020,150.78,61.98,160.44,2.39,2.12,4.58,4.99,301.48,12898.5,140.19,31.07,75.55,0.00035508004806760477,0.002408807225646393
Argentina,Buenos Aires,2020,175.88,121.72,150.64,2.3,2.38,6.99,6.23,355.87,13919.63,179.87,30.92,73.99,0.0005021685202839444,0.002221323411613671
Argentina,Buenos Aires,2020,96.81,67.71,103.17,1.58,0.45,5.0,4.66,254.06,9279.04,139.05,30.49,79.05,0.0005388488464323895,0.0032859002655447112
Argentina,Buenos Aires,2020,158.96,81.81,120.96,1.14,1.53,13.32,3.84,75.69,12066.75,188.16,31.37,74.55,0.0011038597799738952,0.002599705803136719
Argentina,Buenos Aires,2020,168.95,87.69,119.11,2.09,0.65,10.87,5.57,211.44,6716.25,199.15,33.15,74.16,0.0016184626837893168,0.004935790061418202
Argentina,Buenos Aires,2020,115.43,72.63,104.98,2.28,1.39,7.85,4.48,366.94,14601.1,186.37,27.3,78.04,0.0005376307264521165,0.0018697221442220107
Argentina,Buenos Aires,2020,134.45,75.99,125.01,4.15,2.93,6.77,6.57,384.17,14853.76,183.29,29.78,76.8,0.00045577685380671285,0.002004879572579603
Argentina,Buenos Aires,2020,82.91,43.74,76.49,2.31,0.85,6.74,6.73,241.54,3655.87,152.67,36.58,79.96,0.0018436104128429075,0.010005826246556907
Argentina,Buenos Aires,2021,187.64,77.48,157.64,3.07,0.38,7.76,9.97,264.73,9161.78,218.73,28.89,73.02,0.0008469969809360189,0.0031533173684589674
Argentina,Buenos Aires,2021,118.65,49.73,86.08,2.38,1.33,13.65,9.56,384.71,3105.13,252.01,38.5,77.86,0.00439595121621317,0.012398836763678171
Argentina,Buenos Aires,2021,135.52,79.8,138.06,2.99,1.84,9.95,7.76,254.33,2993.24,203.3,39.53,76.47,0.003324157100666836,0.013206425144659301
Argentina,Buenos Aires,2021,107.93,75.38,111.02,4.13,1.05,9.06,7.28,176.6,2305.34,193.66,36.7,78.16,0.003930005986101833,0.015919560672178507
Argentina,Buenos Aires,2021,129.98,64.42,120.86,0.62,0.38,10.35,8.25,94.74,11712.0,227.21,28.8,76.52,0.0008837090163934426,0.002459016393442623
Argentina,Buenos Aires,2021,127.88,72.55,121.66,3.16,0.5,6.38,5.08,277.07,12181.82,161.05,26.15,77.03,0.0005237312651147365,0.0021466414706505267
Argentina,Buenos Aires,2021,159.94,94.37,167.7,3.46,2.18,6.46,8.88,62.7,13785.97,178.95,29.3,74.46,0.00046859234424563524,0.0021253491774608536
Argentina,Buenos Aires,2021,118.48,67.02,110.49,1.68,0.88,10.65,7.0,171.84,9377.81,218.93,31.58,77.45,0.001135659604961073,0.003367523974147482
Argentina,Buenos Aires,2021,98.84,62.61,76.08,2.47,0.65,7.61,6.27,307.35,7479.17,168.63,32.01,79.03,0.0010174925827331107,0.0042798866719168036
Argentina,Buenos Aires,2021,88.31,53.87,75.99,2.42,0.79,6.22,7.02,235.95,2460.04,160.41,37.48,79.58,0.0025284141721272826,0.015235524625615842
Argentina,Buenos Aires,2021,144.57,75.02,101.42,1.04,0.83,8.17,4.81,312.0,8394.96,152.57,33.07,75.99,0.0009732029694006881,0.0039392683228985014
Argentina,Buenos Aires,2021,146.11,85.25,106.07,1.64,1.01,11.36,8.37,217.37,4660.08,232.68,36.74,75.69,0.002437726390963245,0.007883984824294862
Argentina,Buenos Aires,2021,127.69,64.56,135.36,4.38,2.01,11.5,9.31,318.51,5470.65,226.7,36.18,77.12,0.0021021268039446866,0.00661347371884511
Argentina,Buenos Aires,2021,139.32,76.9,115.56,3.65,0.56,5.38,9.63,89.98,9440.57,202.35,28.57,75.89,0.0005698808440592041,0.003026300318730755
Argentina,Buenos Aires,2021,156.16,64.69,152.22,3.12,1.34,8.19,8.76,373.07,7075.08,206.8,33.82,75.34,0.0011575840838548822,0.0047801579628781584
Argentina,Buenos Aires,2021,166.65,107.71,178.97,1.1,1.48,6.98,8.47,118.92,14219.11,195.38,29.11,74.13,0.000490888670247294,0.0020472448697562646
Argentina,Buenos Aires,2021,196.79,128.96,160.22,4.34,2.34,11.24,9.57,302.09,10974.58,255.7,31.71,72.48,0.001024184980199698,0.0028894044236772616
Argentina,Buenos Aires,2021,110.36,60.03,107.04,2.52,0.98,5.5,8.74,363.87,12293.04,171.08,28.11,78.37,0.0004474076387939842,0.0022866597684543448
Argentina,Buenos Aires,2022,134.43,78.32,106.02,3.95,2.22,11.3,3.85,325.17,1962.54,145.19,40.74,76.69,0.00575784442610087,0.020758812559234462
Argentina,Buenos Aires,2022,208.64,86.73,201.03,3.89,0.69,12.4,9.85,77.13,3810.74,248.52,34.38,71.24,0.0032539611728955534,0.009021869768076543
Argentina,Buenos Aires,2022,97.6,48.6,98.9,3.84,2.91,4.43,3.65,120.52,2050.74,116.03,42.85,78.73,0.0021601958317485396,0.02089489647639389
Argentina,Buenos Aires,2022,93.08,48.72,77.91,2.59,1.8,4.25,4.44,66.12,4892.2,112.9,37.93,78.93,0.0008687298148072442,0.0077531580883855936
Argentina,Buenos Aires,2022,212.59,128.22,178.37,3.97,1.01,13.98,4.69,90.69,14012.89,198.09,25.04,71.01,0.0009976528753169404,0.0017869261801098846
Argentina,Buenos Aires,2022,145.78,94.53,155.28,2.06,0.9,8.72,9.48,147.41,10967.83,222.51,29.68,75.58,0.0007950524397259988,0.0027060959187004173
Argentina,Buenos Aires,2022,187.01,86.31,157.85,4.41,2.03,12.12,3.92,176.82,12612.13,189.5,29.05,72.89,0.0009609796283419216,0.002303338135588517
Argentina,Buenos Aires,2022,95.93,62.21,76.08,2.73,2.41,7.58,8.05,121.54,6234.72,180.86,38.26,78.85,0.0012157723201683475,0.006136602766443401
Argentina,Buenos Aires,2022,116.12,78.2,111.22,1.73,2.41,13.33,4.79,110.46,7470.36,210.87,38.04,77.48,0.0017843852237375442,0.005092124074341799
Argentina,Buenos Aires,2022,162.26,91.56,129.7,2.27,1.49,7.26,7.98,142.76,9227.56,205.31,32.98,74.47,0.0007867735349323115,0.0035740759203949906
Argentina,Buenos Aires,2022,197.18,118.49,181.42,4.35,0.39,10.35,7.65,79.43,11911.56,203.45,24.92,72.01,0.0008689038211619637,0.002092085335589965
Argentina,Buenos Aires,2022,84.17,41.21,70.6,1.57,0.33,6.91,5.52,347.79,10316.46,149.67,29.12,80.08,0.0006698034015544093,0.0028226736690686537
Argentina,Buenos Aires,2022,102.46,71.23,79.69,4.14,1.0,5.66,3.17,163.5,4029.95,97.87,34.83,78.5,0.0014044839265995857,0.008642787131353987
Argentina,Buenos Aires,2022,105.08,73.05,94.25,3.87,0.93,12.81,5.25,396.01,1991.11,185.64,36.94,78.79,0.006433597340177088,0.01855246571008131
Argentina,Buenos Aires,2022,129.6,80.04,141.37,0.59,2.58,10.82,6.14,353.65,13180.37,208.86,33.96,77.07,0.0008209177739319913,0.002576558928163625
Argentina,Buenos Aires,2022,144.02,100.66,133.64,1.67,2.4,12.76,8.22,223.39,8920.08,219.37,36.62,75.85,0.0014304804441215774,0.004105344346687473
Argentina,Buenos Aires,2023,148.31,100.22,133.59,3.83,2.14,4.11,6.52,357.83,11466.09,159.41,31.11,75.83,0.00035844825917117344,0.0027132178449672034
Argentina,Buenos Aires,2023,85.25,50.5,70.27,1.57,1.4,7.35,5.97,327.62,9587.22,152.12,33.03,79.97,0.000766645596950941,0.0034452114377264737
Argentina,Buenos Aires,2023,162.49,72.36,160.39,3.45,0.68,10.67,5.66,79.7,9460.88,187.66,29.13,74.33,0.0011278020649241932,0.003078994765814597
Argentina,Buenos Aires,2023,105.07,56.01,77.91,3.17,2.66,9.13,4.34,292.04,12747.91,165.05,32.06,78.58,0.000716195831316663,0.002514922053889618
Argentina,Buenos Aires,2023,115.67,70.64,105.69,3.87,1.42,9.01,5.41,181.7,4407.02,184.55,35.98,77.65,0.0020444654210781885,0.008164247042219004
Argentina,Buenos Aires,2023,107.26,47.89,114.42,1.72,1.83,6.27,8.81,240.2,10409.04,202.48,33.38,78.33,0.0006023610246478061,0.0032068279111234083
Argentina,Buenos Aires,2023,140.59,82.49,136.46,3.36,1.28,6.79,6.27,335.86,4118.04,155.43,36.37,76.3,0.001648842653301085,0.008831871472836591
Argentina,Buenos Aires,2023,123.53,82.4,114.93,0.57,1.95,11.28,8.54,251.03,4326.06,202.8,40.95,77.27,0.0026074534333781776,0.009465888129152162
Argentina,Buenos Aires,2023,154.66,99.83,168.16,3.89,1.9,7.02,3.46,359.38,12730.94,139.41,29.07,75.41,0.0005514125429858282,0.002283413479287468
Argentina,Buenos Aires,2023,196.11,117.07,158.95,3.6,1.72,8.99,9.48,245.18,13767.43,229.96,27.81,72.42,0.0006529904274072939,0.002019984848297758
Argentina,Buenos Aires,2023,93.92,49.2,75.23,2.06,1.74,7.92,5.21,223.52,8927.11,161.39,34.24,79.19,0.0008871852144759053,0.0038355077959160355
Argentina,Buenos Aires,2023,134.56,86.73,143.45,2.19,1.41,4.84,8.98,179.88,11756.26,172.49,30.29,76.39,0.00041169555623982455,0.002576499669112456
Argentina,Buenos Aires,2023,167.76,104.63,174.86,0.63,2.0,12.36,5.74,192.58,14113.22,218.04,31.25,74.2,0.0008757746283271996,0.002214236014176779
Argentina,Buenos Aires,2023,71.18,34.83,72.2,2.51,2.88,5.98,8.33,286.53,2078.83,166.11,44.04,80.83,0.0028766180976799454,0.021184993481910497
Argentina,Buenos Aires,2023,166.86,107.74,155.33,3.06,0.71,12.65,4.29,262.74,6407.03,189.48,32.67,74.4,0.001974393751863188,0.00509908647220319
Argentina,Buenos Aires,2023,150.28,79.27,157.17,2.57,2.88,7.33,7.4,201.0,5478.04,186.86,40.58,75.38,0.0013380698205927668,0.007407758979489014
