Country;City;Year;AQI;PM2.5;PM10;Deforestation_Rate_%;Afforestation_Rate_%;Vehicles_Increase_%;Industries_Increase_%;Env_Budget_Million_USD;Population_Density_Per_SqKm;CO2_Emissions_MT;Green_Space_Ratio_%;Avg_Life_Expectancy_Index
Australia;Adelaide;2014;52.02;22.12;40.93;1.25;2.15;6.38;2.98;147.88;1202.17;109.6;44.0;81.83
Australia;Adelaide;2014;136.98;71.3;115.5;3.88;2.4;9.7;5.94;198.11;1299.78;154.7;42.01;76.26
Australia;Adelaide;2014;54.78;35.71;49.13;3.1;2.76;4.78;5.26;436.91;2899.32;127.84;42.28;82.22
Australia;Adelaide;2014;68.16;28.2;72.28;2.52;0.53;8.22;7.31;467.61;2008.45;167.82;37.06;81.39
Australia;Adelaide;2014;69.57;37.06;66.51;2.95;0.92;9.53;6.28;404.74;1062.52;170.07;38.75;81.17
Australia;Adelaide;2014;97.12;47.07;77.47;2.32;2.15;4.45;5.33;146.88;467.55;102.13;43.66;78.82
Australia;Adelaide;2014;114.24;54.28;101.35;3.75;2.17;9.48;5.82;147.37;3354.01;169.49;39.42;77.68
Australia;Adelaide;2014;63.56;29.06;49.94;3.34;0.67;5.16;3.46;209.17;699.14;93.7;37.98;81.18
Australia;Adelaide;2014;113.65;73.03;100.39;1.58;2.17;9.69;2.81;171.78;4033.26;138.87;40.91;77.77
Australia;Adelaide;2015;45.96;21.02;44.66;2.94;2.44;4.31;6.47;340.38;278.78;148.01;44.09;82.62
Australia;Adelaide;2015;17.77;8.59;16.34;1.13;1.4;3.84;4.32;420.52;2434.2;99.51;40.64;84.66
Australia;Adelaide;2015;113.41;57.91;120.22;3.77;2.45;8.84;6.47;322.98;4883.07;156.63;38.7;78.09
Australia;Adelaide;2015;56.21;36.96;40.76;1.91;1.19;4.93;5.81;110.76;1704.25;123.17;39.94;81.47
Australia;Adelaide;2015;121.62;53.44;93.93;2.08;1.03;7.41;7.3;203.7;2970.96;176.35;38.04;77.3
Australia;Adelaide;2015;62.29;38.2;59.48;2.94;1.79;7.94;6.78;477.53;3128.05;156.55;39.31;81.8
Australia;Adelaide;2015;89.61;38.18;63.28;3.22;0.83;6.43;6.38;438.35;1136.74;154.4;38.12;79.9
Australia;Adelaide;2015;100.37;58.29;80.56;2.45;2.48;5.8;7.24;457.0;1797.14;170.6;43.18;79.22
Australia;Adelaide;2015;94.36;62.64;103.79;3.34;0.96;7.58;7.42;481.82;1593.36;167.68;37.97;79.67
Australia;Adelaide;2015;90.39;47.03;64.67;3.27;1.18;5.79;2.83;330.25;3510.31;131.11;36.77;79.63
Australia;Adelaide;2015;106.36;61.83;80.08;3.39;1.26;4.27;6.18;131.42;1154.82;113.18;39.24;78.17
Australia;Adelaide;2015;38.75;16.69;40.8;1.59;1.84;5.27;3.32;451.99;2600.34;107.7;41.33;83.32
Australia;Adelaide;2015;68.09;37.11;50.05;0.69;2.38;6.76;6.48;291.29;4240.02;174.3;42.21;81.04
Australia;Adelaide;2015;77.82;33.24;64.33;2.89;2.54;4.27;7.35;328.38;3089.29;157.63;41.65;80.47
Australia;Adelaide;2015;80.42;47.6;86.78;3.56;0.73;4.44;2.12;487.82;2427.87;88.68;36.21;80.61
Australia;Adelaide;2015;15.66;7.24;15.85;0.82;0.8;8.28;2.39;440.76;577.19;102.64;41.0;84.84
Australia;Adelaide;2015;80.92;36.42;72.27;2.52;0.5;8.4;7.09;199.59;3330.21;185.73;35.66;80.0
Australia;Adelaide;2015;46.98;23.14;33.87;2.83;2.06;3.87;3.77;246.46;4891.26;115.74;38.47;82.36
Australia;Adelaide;2015;96.59;52.83;105.75;2.62;0.79;5.11;6.85;304.94;3206.22;164.71;36.55;79.17
Australia;Adelaide;2015;119.65;83.09;92.25;3.46;1.41;9.91;5.99;390.99;2933.72;176.1;37.85;77.81
Australia;Adelaide;2015;61.59;33.31;50.63;3.15;2.33;6.11;3.88;498.74;1694.29;124.48;42.14;81.89
Australia;Adelaide;2015;78.77;48.03;79.9;0.73;2.01;9.98;4.58;342.4;1183.56;166.98;44.11;80.43
Australia;Adelaide;2015;17.57;9.68;18.64;2.19;0.97;5.83;2.87;439.56;707.92;105.3;40.01;84.71
Australia;Adelaide;2015;42.49;18.03;42.54;1.15;2.31;8.85;5.19;318.46;2711.22;156.36;43.08;82.8
Australia;Adelaide;2015;46.82;27.0;50.93;2.03;1.94;7.92;2.04;477.38;3740.52;120.08;40.04;82.83
Australia;Adelaide;2015;84.0;58.26;60.59;2.34;1.69;3.37;4.61;267.03;4466.84;111.21;38.27;79.93
Australia;Adelaide;2015;114.03;52.84;99.46;2.55;0.54;4.2;2.6;186.67;4448.6;80.46;34.61;77.77
Australia;Adelaide;2015;77.86;48.76;82.47;0.55;2.23;7.53;7.66;309.83;3869.51;187.28;42.27;80.43
Australia;Adelaide;2015;89.98;60.83;82.01;1.62;2.8;7.0;3.07;101.28;980.2;138.52;45.82;79.2
Australia;Adelaide;2015;110.27;54.55;121.05;0.83;1.86;7.01;7.23;219.86;4234.97;150.54;40.51;78.09
Australia;Adelaide;2015;59.25;29.15;53.06;0.67;1.79;5.29;4.37;127.84;3530.63;136.76;41.17;81.31
Australia;Adelaide;2015;33.9;18.9;27.5;0.59;1.98;5.65;2.19;431.29;1320.18;96.29;44.04;83.6
Australia;Adelaide;2015;105.76;72.48;85.04;2.08;2.72;8.6;4.64;148.02;3677.84;137.39;42.39;78.25
Australia;Adelaide;2015;59.17;28.61;47.73;0.65;2.77;9.98;2.31;204.55;4028.72;125.62;43.65;81.46
Australia;Adelaide;2016;108.5;58.65;94.51;0.99;1.6;6.06;7.26;225.3;1942.23;151.73;41.89;78.22
Australia;Adelaide;2016;93.83;63.82;94.86;0.54;0.51;7.1;3.57;390.45;3814.89;146.38;37.16;79.53
Australia;Adelaide;2016;52.52;24.23;41.27;2.55;2.7;5.02;5.96;496.28;4520.17;155.12;41.01;82.49
Australia;Adelaide;2016;113.71;45.68;96.37;3.44;2.36;7.28;5.73;179.49;2476.1;133.75;41.16;77.78
Australia;Adelaide;2016;113.24;47.74;119.38;3.11;2.88;7.96;6.2;346.13;3046.64;175.02;42.49;78.14
Australia;Adelaide;2016;92.75;54.14;82.88;0.68;2.91;9.19;4.79;160.33;4262.95;164.53;43.79;79.14
Australia;Adelaide;2016;52.03;36.29;52.98;2.31;2.99;9.22;2.54;344.76;3338.15;130.52;43.32;82.22
Australia;Adelaide;2016;86.9;45.02;82.42;0.87;0.65;9.71;6.49;246.05;3838.31;163.98;37.24;79.7
Australia;Adelaide;2016;54.87;23.72;50.0;2.26;1.47;7.59;3.8;271.02;3083.75;149.0;39.06;81.88
Australia;Adelaide;2016;109.0;67.68;96.0;3.08;1.07;5.45;2.51;121.7;4769.17;122.15;35.38;77.98
Australia;Adelaide;2016;42.84;26.43;43.84;2.18;2.93;3.7;5.64;362.73;2473.03;111.08;44.14;82.87
Australia;Adelaide;2016;88.15;36.91;95.11;0.94;1.51;9.77;3.16;394.4;1595.95;137.47;41.99;79.91
Australia;Adelaide;2016;51.34;30.34;54.71;1.13;1.07;5.01;3.01;157.13;4451.49;91.29;37.64;81.89
Australia;Adelaide;2016;68.73;30.97;61.84;1.74;2.64;5.2;4.77;415.7;2833.59;135.36;43.34;81.25
Australia;Adelaide;2016;52.12;34.65;44.3;3.34;1.96;3.18;3.2;349.77;183.51;77.42;42.37;82.23
Australia;Adelaide;2016;68.9;39.06;51.7;0.55;0.81;4.58;7.64;415.64;3989.38;164.81;37.9;81.24
Australia;Adelaide;2016;80.76;43.62;74.94;3.89;1.68;4.01;4.16;399.99;226.73;108.79;40.92;80.42
Australia;Adelaide;2016;43.9;25.67;40.57;3.53;2.35;3.61;4.65;167.44;309.59;100.74;43.22;82.41
Australia;Adelaide;2016;27.64;18.57;23.5;0.76;1.43;3.93;4.13;455.3;3867.71;114.64;39.66;84.07
Australia;Adelaide;2016;50.09;25.65;44.27;1.51;0.56;7.76;2.52;414.26;747.21;113.7;39.44;82.49
Australia;Adelaide;2016;126.45;50.84;115.62;2.85;2.43;9.62;6.68;232.51;3853.71;170.61;40.58;77.03
Australia;Adelaide;2016;52.4;36.38;56.17;0.67;2.25;7.99;7.99;327.93;371.17;165.96;45.72;82.16
Australia;Adelaide;2016;31.75;15.33;34.21;2.11;1.93;6.65;2.23;177.5;1534.56;118.37;42.15;83.24
Australia;Adelaide;2016;99.3;64.89;71.44;2.6;1.45;3.25;5.4;292.17;4002.48;110.42;37.75;78.96
Australia;Adelaide;2016;60.05;39.66;50.81;2.54;1.4;3.13;7.6;379.79;4666.99;158.59;36.98;81.76
Australia;Adelaide;2016;37.14;19.05;31.51;0.51;1.64;4.4;3.34;422.4;3935.25;100.44;40.46;83.37
Australia;Adelaide;2016;84.99;37.72;60.55;1.78;1.34;5.85;7.47;465.52;4951.53;157.11;37.29;80.26
Australia;Adelaide;2016;114.4;46.23;120.62;1.09;1.62;8.53;3.46;209.47;3707.03;146.87;40.07;77.79
Australia;Adelaide;2016;128.36;58.3;101.88;3.83;0.68;8.89;4.35;345.45;4851.27;155.48;33.37;77.13
Australia;Adelaide;2016;40.02;20.54;43.04;3.04;1.4;4.62;3.45;486.33;4581.64;106.49;36.58;83.3
Australia;Adelaide;2016;55.72;25.53;45.01;1.3;1.15;5.98;5.2;258.52;1664.05;152.77;40.49;81.8
Australia;Adelaide;2016;71.03;43.38;65.58;1.09;1.2;5.03;2.65;398.34;4274.65;116.98;38.24;81.06
Australia;Adelaide;2016;57.45;30.72;53.2;2.54;0.64;4.3;2.69;171.75;2325.53;99.68;37.07;81.51
Australia;Adelaide;2016;42.8;23.57;33.62;0.7;2.78;9.02;5.11;262.76;2049.33;153.04;45.6;82.67
Australia;Adelaide;2016;52.5;28.92;48.81;0.58;1.98;5.53;6.15;122.64;1208.42;143.11;44.16;81.75
Australia;Adelaide;2016;58.16;29.56;51.14;2.47;1.43;4.62;6.72;277.09;160.39;126.7;41.66;81.68
Australia;Adelaide;2016;90.01;46.14;77.76;3.36;1.42;6.91;7.17;226.91;1901.78;143.79;39.01;79.45
Australia;Adelaide;2016;70.25;47.36;68.04;2.23;0.98;7.99;5.69;238.22;3175.37;143.86;37.53;80.79
Australia;Adelaide;2016;24.59;14.61;19.3;3.49;1.56;7.27;2.06;490.28;599.45;116.99;40.58;84.34
Australia;Adelaide;2017;46.07;28.99;40.68;3.33;2.41;4.84;3.19;255.89;439.12;107.92;43.46;82.44
Australia;Adelaide;2017;112.01;52.13;92.14;3.95;1.88;5.92;4.98;251.37;4617.47;117.94;37.07;78.04
Australia;Adelaide;2017;80.48;43.46;72.41;0.91;2.2;6.27;7.26;223.3;869.08;159.49;44.83;80.08
Australia;Adelaide;2017;43.85;23.98;43.97;0.78;2.9;7.05;6.62;147.88;3078.76;141.44;44.83;82.37
Australia;Adelaide;2017;99.39;44.1;103.84;3.82;1.33;5.5;4.41;179.15;4088.7;132.46;36.07;78.73
Australia;Adelaide;2017;65.42;40.87;68.28;3.36;1.32;7.49;5.99;253.17;449.04;145.89;40.16;81.15
Australia;Adelaide;2017;73.86;31.31;67.64;2.61;2.43;7.16;6.86;183.01;4188.08;164.61;40.5;80.44
Australia;Adelaide;2017;68.92;32.45;68.74;2.93;1.1;8.47;3.26;332.61;2310.01;125.42;38.07;81.07
Australia;Adelaide;2017;33.2;23.19;35.45;1.36;1.46;5.03;3.52;486.12;689.01;100.34;42.33;83.76
Australia;Adelaide;2017;51.09;22.71;41.74;1.53;2.05;5.11;6.1;143.7;1814.08;133.16;42.8;81.88
Australia;Adelaide;2017;58.36;29.81;49.23;2.86;2.74;3.26;6.55;343.07;2178.37;127.69;43.19;81.8
Australia;Adelaide;2017;101.54;58.58;85.5;1.43;0.73;5.74;5.49;366.75;4404.07;153.91;36.36;78.96
Australia;Adelaide;2017;108.75;66.75;98.93;2.45;1.97;3.39;6.26;457.92;4609.61;140.86;38.86;78.67
Australia;Adelaide;2017;118.0;73.62;109.73;3.58;2.2;9.52;4.91;328.74;4949.18;173.99;38.07;77.79
Australia;Adelaide;2017;90.13;38.45;90.78;3.27;2.7;8.08;4.37;134.0;574.04;130.46;44.27;79.26
Australia;Adelaide;2017;60.81;42.1;43.03;0.57;2.86;5.87;7.44;480.59;954.36;137.88;47.06;81.91
Australia;Adelaide;2017;105.81;53.76;74.45;2.44;1.69;8.14;7.7;394.43;2548.33;168.29;40.09;78.73
Australia;Adelaide;2017;84.47;49.16;65.12;0.82;0.85;6.11;2.32;129.5;1584.17;96.75;40.16;79.63
Australia;Adelaide;2017;69.68;35.13;52.53;3.07;2.59;8.78;7.25;412.13;2848.77;175.14;41.86;81.18
Australia;Adelaide;2017;106.7;46.74;105.37;3.0;2.49;8.83;6.59;166.61;3118.96;170.58;41.34;78.22
Australia;Adelaide;2017;73.64;40.2;77.87;1.53;2.58;3.19;3.09;191.45;3059.74;110.16;43.14;80.47
Australia;Adelaide;2017;22.61;14.46;20.5;3.37;1.69;3.7;2.13;402.55;375.06;64.54;41.32;84.3
Australia;Adelaide;2017;81.93;38.25;76.99;2.76;2.17;5.57;6.76;381.97;2418.89;135.29;41.34;80.3
Australia;Adelaide;2017;62.58;25.1;63.23;1.34;1.68;7.96;4.48;224.09;303.6;142.05;43.39;81.28
Australia;Adelaide;2017;79.3;40.17;86.2;2.93;0.98;5.41;3.84;241.74;1599.2;104.01;38.41;80.2
Australia;Adelaide;2017;92.17;37.45;71.09;3.23;2.87;5.82;6.5;109.86;272.04;141.68;45.09;79.08
Australia;Adelaide;2017;63.7;43.85;69.56;2.25;0.57;4.79;5.87;198.79;111.69;127.57;39.34;81.15
Australia;Adelaide;2017;110.54;68.2;106.24;1.91;2.18;7.41;6.75;157.17;3753.02;156.42;40.88;77.94
Australia;Adelaide;2017;41.02;23.48;32.07;3.02;0.88;4.67;3.52;334.94;374.54;94.46;39.24;82.93
Australia;Adelaide;2017;86.09;60.05;61.04;1.6;0.76;9.04;7.71;397.24;4170.73;175.02;36.52;80.06
Australia;Adelaide;2017;104.62;46.43;99.95;1.0;0.97;7.5;4.21;139.73;3791.95;148.31;38.11;78.31
Australia;Adelaide;2017;83.24;44.36;70.7;0.94;2.57;9.88;5.43;319.25;3633.12;174.65;43.13;80.09
Australia;Adelaide;2017;68.54;29.48;48.07;3.15;2.69;6.6;4.83;424.24;4397.65;128.88;40.52;81.28
Australia;Adelaide;2017;127.93;57.59;115.61;3.48;0.84;8.28;5.57;103.13;1860.65;162.07;37.19;76.68
Australia;Adelaide;2017;77.29;50.24;72.26;2.8;1.49;3.92;5.38;260.29;368.11;112.03;41.3;80.37
Australia;Adelaide;2017;82.31;43.6;61.36;3.31;1.72;5.96;3.44;170.35;3799.62;121.12;38.05;79.85
Australia;Adelaide;2017;81.91;55.48;85.9;1.19;1.57;6.75;4.45;197.23;1663.06;143.77;41.84;79.93
Australia;Adelaide;2017;15.0;9.71;12.2;1.5;2.76;4.54;5.49;427.51;721.14;103.04;46.06;84.86
Australia;Adelaide;2017;99.93;43.15;95.59;3.81;1.19;9.09;5.04;117.61;1364.06;145.46;38.39;78.57
Australia;Adelaide;2017;40.14;16.76;34.74;1.7;2.14;9.93;2.07;380.54;756.55;112.59;43.96;83.09
Australia;Adelaide;2018;44.85;28.79;37.51;2.61;0.55;3.39;2.23;291.2;960.23;68.44;38.08;82.59
Australia;Adelaide;2018;127.95;66.78;105.57;3.58;2.54;9.59;4.57;222.07;1451.53;138.91;42.57;76.91
Australia;Adelaide;2018;93.43;44.19;88.95;1.68;1.46;4.07;4.66;163.92;843.28;101.9;41.87;79.1
Australia;Adelaide;2018;80.82;51.27;74.76;2.63;2.58;6.12;4.37;432.48;1514.0;128.5;43.59;80.48
Australia;Adelaide;2018;40.84;23.45;43.63;1.28;2.64;4.87;4.73;474.94;3973.74;125.25;42.68;83.23
Australia;Adelaide;2018;78.85;51.48;78.32;3.29;2.01;5.35;6.36;399.38;2892.55;157.2;39.85;80.54
Australia;Adelaide;2018;111.35;59.06;109.91;2.34;2.48;7.51;7.92;307.93;2116.4;183.43;42.99;78.19
Australia;Adelaide;2018;85.89;41.71;80.51;3.0;2.13;3.73;6.52;171.89;2269.66;135.32;41.13;79.62
Australia;Adelaide;2018;65.63;32.29;52.01;3.07;2.56;3.42;3.67;409.55;3197.45;104.82;41.43;81.44
Australia;Adelaide;2018;108.35;45.35;110.76;3.58;1.27;9.69;4.56;208.87;1275.19;143.96;38.96;78.19
Australia;Adelaide;2018;90.04;37.26;96.25;1.7;1.98;9.41;4.1;195.7;524.37;146.39;43.7;79.39
Australia;Adelaide;2018;88.0;47.97;82.62;0.51;2.98;3.07;7.95;273.36;1413.19;125.85;47.01;79.68
Australia;Adelaide;2018;92.42;40.58;89.87;3.13;1.23;8.61;5.41;186.19;2615.54;148.62;37.93;79.21
Australia;Adelaide;2018;64.61;39.71;66.78;1.75;1.09;3.45;7.68;302.69;4536.85;155.62;36.98;81.3
Australia;Adelaide;2018;91.65;39.33;85.23;0.86;1.15;8.05;5.2;316.86;2059.0;131.21;40.54;79.52
Australia;Adelaide;2018;57.68;30.83;51.86;1.72;0.53;3.03;4.33;320.55;2518.73;109.63;37.37;81.8
Australia;Adelaide;2018;31.74;18.3;32.88;0.8;1.47;6.54;3.71;195.56;2335.15;106.99;41.26;83.28
Australia;Adelaide;2018;127.73;84.73;114.9;2.23;0.86;8.81;3.74;102.1;3293.72;141.07;37.04;76.69
Australia;Adelaide;2018;87.25;54.11;61.15;0.78;1.29;9.85;6.24;154.09;4197.99;162.74;38.9;79.49
Australia;Adelaide;2018;48.53;19.89;52.54;2.99;2.42;3.41;3.02;472.61;737.46;81.35;43.53;82.71
Australia;Adelaide;2018;15.0;6.07;11.77;1.69;2.68;3.82;2.73;386.27;1107.02;91.68;45.24;84.77
Australia;Adelaide;2018;85.35;47.44;63.0;0.81;1.44;3.9;2.54;158.18;2080.02;109.59;41.45;79.63
Australia;Adelaide;2018;78.25;46.24;68.79;2.49;1.19;9.99;7.88;484.0;515.34;207.99;40.55;80.75
Australia;Adelaide;2018;137.5;66.69;124.92;3.41;2.4;5.22;7.7;191.23;4781.69;166.7;39.02;76.22
Australia;Adelaide;2018;20.19;14.0;15.85;2.06;1.46;3.11;6.38;429.44;194.69;123.31;42.11;84.51
Australia;Adelaide;2018;80.68;49.69;82.37;3.77;0.69;5.6;5.29;471.28;669.6;148.71;37.62;80.56
Australia;Adelaide;2018;92.82;44.83;78.74;3.97;0.83;8.04;7.05;270.98;2426.01;167.25;36.08;79.35
Australia;Adelaide;2018;97.38;51.56;106.77;2.13;2.48;8.82;2.83;130.79;3490.66;139.79;41.81;78.77
Australia;Adelaide;2018;99.36;61.27;88.32;0.62;0.53;8.33;7.35;393.36;2349.31;172.02;38.63;79.16
Australia;Adelaide;2018;82.63;38.83;87.8;2.39;0.87;7.31;4.5;369.8;3889.34;158.6;36.33;80.23
Australia;Adelaide;2018;70.12;45.1;73.53;0.9;2.4;3.1;5.9;141.74;4834.66;112.45;41.47;80.61
Australia;Adelaide;2018;136.73;88.03;134.62;1.36;0.82;8.24;5.35;174.94;4976.77;148.62;36.12;76.23
Australia;Adelaide;2018;94.09;54.06;96.46;3.05;1.18;7.19;5.17;121.01;4262.28;163.91;36.22;78.97
Australia;Adelaide;2018;47.83;24.85;50.09;2.74;0.77;4.97;3.39;482.17;2278.44;123.93;37.28;82.78
Australia;Adelaide;2018;56.64;25.32;61.87;0.71;2.42;4.18;7.23;306.43;4139.54;150.84;42.41;81.84
Australia;Adelaide;2018;25.37;16.77;22.61;1.08;2.76;6.61;4.45;453.16;837.49;128.23;46.36;84.21
Australia;Adelaide;2018;45.54;25.04;45.29;0.94;1.89;5.93;4.15;393.47;4048.0;131.96;40.67;82.75
Australia;Adelaide;2018;75.54;44.27;69.22;3.28;2.69;4.97;6.8;353.86;2835.63;135.34;41.94;80.67
Australia;Adelaide;2019;63.62;42.53;62.43;0.51;1.69;7.53;6.15;460.58;177.79;162.57;44.39;81.68
Australia;Adelaide;2019;121.52;66.69;129.78;1.55;1.32;5.35;5.4;141.94;4274.84;140.86;38.14;77.18
Australia;Adelaide;2019;129.25;85.45;94.61;3.9;0.78;8.91;6.27;171.54;3926.92;152.13;34.51;76.73
Australia;Adelaide;2019;84.53;44.82;62.91;1.36;1.7;4.21;4.55;142.57;1922.65;115.21;41.81;79.65
Australia;Adelaide;2019;74.76;50.13;72.93;1.16;0.53;9.57;5.26;487.04;1532.54;150.86;38.91;80.99
Australia;Adelaide;2019;75.62;41.27;78.94;3.72;2.82;9.26;4.68;409.38;286.53;153.91;44.44;80.78
Australia;Adelaide;2019;44.77;30.59;45.0;2.89;0.95;7.98;4.09;487.02;658.86;121.25;39.29;82.99
Australia;Adelaide;2019;15.0;7.84;15.39;1.15;0.86;3.18;3.43;499.51;2143.69;85.25;39.28;85.0
Australia;Adelaide;2019;51.83;32.35;44.96;2.93;1.47;6.39;3.72;229.72;3952.04;114.44;37.52;82.0
Australia;Adelaide;2019;35.9;21.94;25.53;3.49;2.04;4.78;4.35;488.12;529.84;127.89;42.1;83.58
Australia;Adelaide;2019;82.59;37.04;70.69;2.75;1.27;4.54;2.69;420.53;4274.87;101.61;36.8;80.33
Australia;Adelaide;2019;118.07;56.93;99.87;3.6;1.01;9.95;7.78;362.4;4777.99;178.24;34.67;77.85
Australia;Adelaide;2019;147.67;77.86;130.07;3.03;2.49;8.69;7.68;178.8;4992.88;203.88;39.44;75.51
Australia;Adelaide;2019;51.14;32.5;48.08;1.44;2.34;5.45;3.65;224.67;4168.96;124.29;41.4;82.04
Australia;Adelaide;2019;105.95;46.54;104.5;3.62;2.77;9.48;6.34;408.02;1737.08;188.65;42.95;78.75
Australia;Adelaide;2019;77.15;39.67;69.62;0.61;2.73;5.91;6.92;191.52;3355.11;146.01;44.24;80.24
Australia;Adelaide;2019;61.33;32.38;47.37;2.62;2.87;7.86;2.03;266.1;2725.8;106.37;43.26;81.44
Australia;Adelaide;2019;71.64;43.44;68.09;1.43;2.17;5.99;2.91;359.66;4770.84;112.96;40.31;80.94
Australia;Adelaide;2019;33.76;17.36;28.75;2.85;2.5;5.54;3.8;323.0;407.67;118.82;44.26;83.4
Australia;Adelaide;2019;130.74;75.45;133.0;3.53;2.12;9.2;5.89;146.96;345.8;165.77;42.5;76.58
Australia;Adelaide;2019;66.31;40.49;71.16;1.97;1.16;4.92;6.82;201.9;1986.21;152.5;39.51;80.98
Australia;Adelaide;2019;55.05;31.05;41.06;1.08;0.63;5.11;4.99;437.42;2919.34;138.63;37.89;82.2
Australia;Adelaide;2019;93.02;40.5;73.96;3.7;1.88;5.66;3.73;253.45;3640.21;114.56;38.29;79.31
Australia;Adelaide;2019;82.49;36.94;69.44;2.49;2.17;4.04;7.54;373.23;3658.89;134.27;40.36;80.25
Australia;Adelaide;2019;37.76;23.49;29.95;0.81;2.44;8.49;4.2;368.04;3512.54;130.45;42.98;83.22
Australia;Adelaide;2019;99.76;55.56;88.72;3.61;1.31;9.39;2.67;148.36;3771.28;146.65;36.53;78.65
Australia;Adelaide;2019;54.6;25.65;54.14;1.53;1.15;4.75;2.68;287.75;2802.41;83.14;39.11;81.94
Australia;Adelaide;2019;90.83;52.99;77.3;3.26;2.93;8.37;2.29;131.33;4772.31;113.03;40.77;79.21
Australia;Adelaide;2019;100.71;44.67;102.3;2.23;0.84;8.58;6.62;196.95;2212.09;176.02;38.08;78.68
Australia;Adelaide;2019;66.38;45.81;68.61;2.4;2.69;7.03;3.7;441.13;1337.79;136.63;44.33;81.46
Australia;Adelaide;2019;30.28;21.16;21.99;0.92;2.21;3.77;7.82;457.67;318.11;130.88;45.4;83.9
Australia;Adelaide;2019;67.46;45.64;50.73;1.3;2.42;4.48;4.34;246.13;4083.9;124.38;41.87;81.0
Australia;Adelaide;2019;84.45;35.43;76.25;1.12;2.69;9.78;5.94;166.81;1672.26;172.63;45.29;79.7
Australia;Adelaide;2019;36.71;24.52;33.04;1.68;1.89;4.19;5.6;465.07;1861.01;118.34;42.12;83.48
